URI,name,text
<http://dbpedia.org/resource/H%C3%A9ctor_Wagner>,H%C3%A9ctor Wagner,hctor raul guerrero wagner born november 26 1968 in san juan de la maguana dominican republic is a former major league baseball pitcher for the kansas city royals from 1990 to 1991wagner originally signed with the kansas city royals as an amateur free agent on may 13 1986 he began his professional career the following year 1987 as a member of the royals rookie minor league team the gcl royals he pitched in 13 games that season starting 12 of them and had a winloss record of 13 and an earned run average era of 306 the following season wagner was promoted to the eugene emeralds of the northwest league he pitched a nohitter through seven innings in a match against the spokane indians on august 14 in a 51 victory he finished the season having pitched 15 games for the emeralds going 49 with a 368 erathe royals invited wagner to spring training to start the 1989 season and although he did not make the final roster the team noted that he had a shot to make the roster later that season he spent the season with the appleton foxes of the midwest league where he pitched in 24 games won 6 and lost 11 and finished the season with an era of 456wagner spent the 1990 kansas city royals season with the memphis chicks the kansas city royals aa minor league affiliate in 40 games primarily as a relief pitcher he had a 124 record a 202 era and over 133 innings pitched in september the royals brought him to the major league roster and he made his major league debut on september 10 1990 against the toronto blue jays wagner pitched in five games for the royals in 1990 losing two and finishing the season with an era of 810 he was the eighth youngest player in major league baseball that seasonas the 1991 kansas city royals season began wagner was on the 40man roster and after participating in spring training with the team he started the season with the omaha royals the aaa minor league affiliate in late may royals pitcher mark davis was placed on the disabled list and wagner was called up to the major league roster in his place he made two starts for the royals that season winning one and losing one and finishing with an era of 720 after the two appearances he was sent back to omaha where he finished the season with a 56 record and a 344 era in 1992 he was to pitch for the royals but needed rotator cuff surgery and ended up missing the seasonafter recovering from the surgery wagner split his time in 1993 between the memphis chicks and the wilmington blue rocks of the royals minor league system he pitched in ten games for memphis winning two and losing four and he started 13 games with wilmington finishing the season with a 17 record and a 338 era at the end of the season the royals released him which ended his professional career for some time he attempted a comeback in 1999 and 2001 playing for the newark bears in the independent atlantic league he pitched in 20 combined games those two seasons then pitched in four games for the pennsylvania road warriors the following year his last season in the minor leagues
<http://dbpedia.org/resource/Gustavo_Madero_Mu%C3%B1oz>,Gustavo Madero Mu%C3%B1oz,gustavo enrique madero muoz born chihuahua chih 16 december 1955is a mexican politician and businessman greatnephew of the president francisco i madero he is the president of the national action party pan until 10 june 2008 he was the leader of the pan delegation in the senate and he was from 28 august 2008 to 4 december 2010 the president of the senate gustavo madero has a bachelors degree in communication science from the instituto tecnolgico y de estudios superiores de occidente iteso he has pursued business interests for most of his life and was at one point vice president of the coparmex in chihuahuamadero served as director general of planning and evaluation under governor of chihuahua francisco barrio in 2001 he became actively involved in politics when he stood unsuccessfully as the pans candidate for mayor of chihuahuain 2003 he was elected to the federal chamber of deputies for the sixth federal electoral district of chihuahua after narrowly beating his opponent pedro domnguez alarcn of the pri by 48683 votes to 48229as a deputy during the following 59th congress he chairedthe chambers treasury and public credit committee where he worked hard to have valueadded tax applied to medicines and foodstuffs an unsuccessful policy initiative of the fox administrationin the 2006 federal election gustavo madero was elected to the senate representing chihuahua for the pan in conjunction with ramn galindo noriega for the period 200612 he chaired the senate treasury and public credit committee and also served on the trade and industrial development energy and foreign relations asia pacific committeeson 9 june 2008 it was announced that gustavo madero would be replacing santiago creelhis cousin as the coordinator of the pan bloc in the senate and this was confirmed on 10 june by pan president germn martnez at a meeting of the partys national executive committeeon 28 august 2008 he was elected president of the senate for the third year 200809 of the 60th congressin december 2010 he has been elected president of the national action party pan at the moment gustavo madero has asked for a license of his charge as the president of the national action party he wants to be reelected and since he is searching for the militant vote he decided to start a campaign please see also creelterrazas family
<http://dbpedia.org/resource/Michael_D._Behiels>,Michael D. Behiels,michael behiels is a professor and university research chair in the department of history at the university of ottawa specializing in twentiethcentury canadian politics a student of ramsay cook he is a prominent defender of pierre trudeaus conception of federalism no special status for quebec and maintenance of linguistic minority rights in 1985 while a faculty member at acadia university his published doctoral dissertation prelude to quebecs quiet revolution was nominated for the governor generals award for nonfiction thanks to this books success he is still considered to be a major authority on the thought of former le devoir editor andr laurendeauhe frequently appears in the media to comment on current events most notably on cpacs weekly callin show goldhawk livebehiels in 2010 has argued that canada has recently undergone a political realignment of the sort that that occurs rarely and makes a long term shift in the political alignment of the parties the patterns of the 2004 2006 and 2008 elections and the continuance of harpers government argues behiels has led many of canadas political experts to the conclusion that a new political party paradigm has emerged behiels says they find its basis in a rightwing political party capable of reconfiguring the role of the state federal and provincial in twentyfirstcenturyin 2011 he was made a fellow of the royal society of canada
<http://dbpedia.org/resource/Guy_Musser>,Guy Musser,guy graham musser born 10 august 1936 is an american zoologist his main research field is the subfamily murinae in which he has described many new speciesmusser was born in salt lake city utah he attended elementary and secondary public schools until 1955 and in 1967 obtained a phd at the university of michigan with a thesis about the taxonomy of the mexican gray squirrel sciurus aureogaster in 1966 he joined the american museum of natural history where he became curator of mammals since his retirement in 2002 he is curator emeritusin the 1960s and 1970s he published numerous articles on squirrels neotominae and murinae in the 1970s he conducted a three year expedition to sulawesi where he discovered several mice and rat species which were new to science the results of this expedition are still not fully publishedin the early 1980s he published some of his most important works including notes on systematics of indomalayan murid rodents and descriptions of new genera and species from ceylon sulawesi and the philippines 1981 the giant rat of flores and its relatives east of borneo and bali 1981 crunomys and the smallbodied shrew rats native to the philippine islands and sulawesi celebes 1982 and malaysian murids and the giant rat of sumatra 1983 together with cameron newcomb these works led to a change within the taxonomy of the asian murinae and to the splitting of the genus rattus into several new generalater he published many articles on various asian and australasian murinae and also some articles about sigmodontinae a subfamily of south american rodentsmusser was among the authors of the publication mammal species of the world 1993 and 2005 where he cowrote the section about the order rodentia in collaboration with michael d carlton he also frequently contributed to the bulletin of the american museum of natural history guy musser is married to mary ellen holden a zoologist herself and directress of the upper elementary in the trinity montessori christian school in charleston south carolina they have three children and live on james island south carolinaguy musser received the clinton hart merriam award of the american society of mammalogists in 1992
<http://dbpedia.org/resource/Harry_Bryden>,Harry Bryden,harry leonard bryden frs born 9 july 1946 is an american physical oceanographer professor at university of southampton and staff at the national oceanography centre southampton he is best known for his pioneering work in ocean circulation and in the role of the ocean in the earths climateborn in providence rhode island in 1946 bryden received his ab degree in mathematics from dartmouth college for a short period after graduation he worked as a mathematician on oceanographic topics for offices of the united states navy in maryland and connecticut brydens doctoral training in oceanography was undertaken at the massachusetts institute of technology mit and the woods hole oceanographic institution whoi through the longstanding joint program for students that operates between these institutes during his time at mitwhoi bryden completed and published work on a number of topics including water mass properties mediterranean outflow and geostrophy he was supervised initially by henry stommel and then principally by nick fofonoff and his thesis title was momentum mass heat and vorticity balances from oceanic measurements of current and temperature upon competing his doctoral thesis bryden briefly moved to oregon state university to work as a postdoctoral researcher before returning to whoi in 1977 he was awarded tenure at whoi in 1983 and remained there until 1992 ultimately reaching the position of senior scientist bryden then moved to the united kingdom and the institute of oceanographic sciences ios a unit funded by the natural environment research council nerc he moved with ios to southampton when it partnered with the university of southampton to create the southampton oceanography centre and has remained with its successor institutes though partially retired bryden remains active at the university of southampton in both research and the wider scientific communitya particular focus of brydens research is the largescale thermohaline circulation of the ocean in particular its role in transporting heat a decline in the strength of the atlantic meridional overturning circulation amoc caused by global warming has been hypothesised and bryden and colleagues have studied this via the rapid array that crosses the atlantic at 265nin 2003 bryden both became a fellow of the american meteorological society and was awarded the societys henry stommel research award for fundamental and elegant observational contributions to understanding the oceanic general circulation in 2005 bryden was elected a fellow of the royal society in 2009 he won the prince albert i medal in recognition of his fundamental contributions to understanding the oceans role in the global climate system in 2010 bryden was elected a fellow of the american geophysical union bryden served as president of the challenger society for marine science from 2010 to 2012 in late 2012 the european geosciences union awarded bryden the 2013 fridtjof nansen medal for his contributions to earth sciences
<http://dbpedia.org/resource/Kevin_McCarthy_(radio)>,Kevin McCarthy (radio),kevin mccarthy has been a radiotelevision personality in north texas since gordon mclendon brought him to dallas as part of the original staff of knus99 in 1972 he spent 14 years as a toprated talk show host on klif before leaving in 2001 to start his own business a multimedia marketing company he is the trusty sidekick cohost with jerry reynolds on the car pro show httpcarprousacom on wbap 820 am and 1080 am krld in dallasft worth ktrh 640 am houston 1200 woai am san antonio 590 klbj am austin 570 klac am los angeles knew 960 am san francisco 1530 am kfbk 650 kste am in sacramento kfyi 1230 am phoenix kex 1190 am portland wtam 1100 am cleveland fox sports 987 fm charlotte nc wtkk 1061 fm in raleighdurham and several other cities he also does voiceovers for commercials industrial videos and documentaries represented by the mary collins agency in dallasmccarthy developed his love for conversation while growing up working behind the soda fountain in his fathers drugstore just down the street from the courthouse in barbourville kentucky mccarthy was a charter inductee into the texas radio hall of fame in 2002 a fivetime winner of the dallas press clubs katy award for best talk show in texas and the 1995 american women in radio televisions dallasfort worth radio personality of the year he was the reunion arena voice of the dallas mavericks for 20 yearshis wife yvonne is an internationally ranked photographerdigital artist and a former symphony cellist they live in suburban dallas with their five rescue cats and one rescue dog
<http://dbpedia.org/resource/Joel_Otto>,Joel Otto,joel stuart otto born october 29 1961 is an american former professional ice hockey center in the national hockey league nhl for the calgary flames and philadelphia flyers an undrafted player otto signed with the flames as a free agent in 1984 and played 11 seasons with the team he was one of the top defensive centers in the league during his career and one of the nhls best at faceoffs otto was a twotime finalist for the frank j selke trophy he was known for his confrontations with mark messier as part of the flames rivalry with the edmonton oilers and was a member of calgarys 1989 stanley cup championship winning team he joined the flyers in 1995 with whom he played three seasonsotto was a frequent member of the united states national team he played in two world championships and two canada cups captaining the united states to the final in 1991 otto was a member of the team that won the inaugural world cup of hockey in 1996 and played in the 1998 winter olympics he currently serves as an assistant coach of the western hockey leagues calgary hitmen with whom he won the league championship in 2010
<http://dbpedia.org/resource/Suzanna_Clarke>,Suzanna Clarke,suzanna clarke is an author photographer and journalist she was born in new zealand in 1961 and now lives in brisbane australiashe worked as a photographer reviewer travel and feature writer for the couriermail in brisbane australia where she is now the arts editor suzanna clarke has been a professional photographer for over twenty years her first project on children with disabilities was exhibited in sydney when she was just sixteen after studying contemporary dance in amsterdam in her early twenties and travelling extensively she returned to a ba communications degree at the university of technology sydney she has since completed an ma in creative writing at queensland university of technology and worked there as a parttime lecturerduring the late 1980s and early 1990s clarke worked as a freelance photographer for editorial commercial and government clients these included the australian newspaper the age newspaper travel and life magazine now conde nast traveler new scientist illustrated science scandinavia the bulletinnewsweek australian country style wwf the australian tourism commission and the nsw nt tourism commissions her photographic work has been the subject of major government exhibitions and her last novel was shortlisted for the premiers literary awardsher travel and news photography covers many countries including morocco greece vietnam the czech republic ireland france italy austria australia indonesia east timor new zealand and the ukher photographs can be seen on the web log she shares with her husband the writer and broadcaster sandy mccutcheonin 2006 suzanna clarke completed a book on the restoration of their house in the old medina of the moroccan city of fes for penguin books the book a house in fez has been published in australia new zealand great britain and the usa a korean language version is due in late 2009
<http://dbpedia.org/resource/Rob_Butler>,Rob Butler,robert frank john butler born april 10 1970 is a former major league baseball outfielder with the toronto blue jays and the philadelphia phillies he is also a former baseball player with the toronto maple leafs baseball club of the intercounty baseball leaguebutler first signed with the blue jays as an amateur free agent on september 24 1990 on june 12 1993 butler made his major league debut with the blue jays he played in 17 regular season games and was sidelined by a hand injury he suffered when attempting to steal a base in his 17game stint in 1993 he had a 271 batting average with four doubles two rbis and 12 strikeouts he also drew seven walks and went 2for4 stealing bases when the blue jays reached the world series he went 1for2 with a pinch hit single off curt schilling he went on to win the world series championship with his hometown team making him the only canadian player to have won a world series with the blue jaysin 1994 butler played in 41 games for the blue jays batting 176 with one triple and five rbis much of his time was split between the blue jays and their aaa affiliate the syracuse chiefs on december 5 1994 he was traded to the philadelphia phillieswith the phillies organization butler spent much of it in their minor league system but was called up in 1997 and he played in 43 games batting 292 with nine doubles one triple and 13 rbison december 22 1997 butler signed with the houston astros and spent 1998 in their minor league systemon december 23 1998 he returned to the blue jays as a free agent and appeared in eight games with the jays during the 1999 season on july 10 1999 butler played his last game as a major league baseball playerin 2001 butler joined the toronto maple leafs baseball club as an outfielder he was also joined by his brother rich butler and later by former blue jays pitcher paul spoljaric for much of those years rob finished the season as the teams batting leader and in 2002 he won the league championship with them in 2005 butler played his last game with the leafs announcing his retirement from the gameas of april 2009 butler is a coach with the canadian national junior team
<http://dbpedia.org/resource/David_Philipps>,David Philipps,david nathaniel philipps born in 1977 is a pulitzer prizewinning american journalist and author he works for the new york times philipps won a pulitzer in national reporting in 2014 for his threeday series other than honorable on the treatment of injured american soldiers being discharged without military benefits he also was named a finalist for the 2010 pulitzer prize which cited his painstaking stories on the spike in violence within the band of brothers a battered combat brigade returning to fort carson after bloody deployments to iraq leading to increased mental health care for soldiersphilipps also won the 2009 livingston award for his reporting on violence in infantry troops returning from iraq philipps book lethal warriors chronicles how the 4th brigade combat team of the 12th infantry regiment stationed at fort carson colorado produced a high number of murders after soldiers returned from unusually violent combat tours philipps worked for eight years as an enterprise reporter at the colorado springs gazettephilipps gained attention in 2012 when us secretary of interior ken salazar threatened to punch him out while philipps was asking about troubles in the departments wild horse program philipps subsequent reporting led to state and federal investigation of the wild horse program and its largest horse buyerphilipps graduated from middlebury college in 2000 and earned a masters degree from the columbia university graduate school of journalism in 2002
