text,category,document_id,source_file
"
Hallo POV-Renderers !
I've got a BocaX3 Card. Now I try to get POV displaying True Colors
while rendering. I've tried most of the options and UNIVESA-Driver
but what happens isn't correct.
Can anybody help me ?
",comp.graphics,comp.graphics_10,sklearn.fetch_20newsgroups
"
Alan,

	don't forget,  a HUGE  cost for airliner developement is FAA
certification.  the joke is when the paperwork  exceeds teh weight
of the airplane,  it will fly.

The SR-71, and teh X-15  both highly ambitious  aero-space projects were done
on very narrow engineering budgets.   Partly because they didn't spend much
on paper  pushing.   There is some company in missouri  trying to
get funding to build light commercial transporters  on a low cost basis,
mostly by reducing FAA  certification costs.",sci.space,sci.space_11,sklearn.fetch_20newsgroups
"Actually if Mr X had something to gain by his claims his
account of the events would nmot be the most respected. Case
and point, the resurrection. By claiming that the resurrection
actually happened the early preachers were able to convert many
to Christianity. However, if you read Mathew 27:38 (?) and the
case for the resurrected saints who walked around Jerusalem and
appeared to ""many People"" you would realize that other
historians (Josephus for one) would have reported on it all if
it happened. The fact that the Bible speaks of events of such
great magnitude that they would have been noticed taken with
the fact that they are not reported on by historians could only
mean that the bible contains many made up stories.
",talk.religion.misc,talk.religion.misc_12,sklearn.fetch_20newsgroups
"Sorry but I forgot this ps.

Right now my sight is getting news about two weeks behind so it's 
kind of necessary (to me) that any responses be sent to me directly.


Thanks a lot",sci.space,sci.space_13,sklearn.fetch_20newsgroups
"

But, you wouldn't know what red *was*, and you certainly couldn't judge
it subjectively.  And, objectivity is not applicable, since you are wanting
to discuss the merits of red.",alt.atheism,alt.atheism_14,sklearn.fetch_20newsgroups
"
... or consider the thousands in Central America killed by those brave
CIA/NSC sponsored ""Freedom Fighters.""

Thus far, Slick Willie is a piker.

							spl
",talk.religion.misc,talk.religion.misc_15,sklearn.fetch_20newsgroups
"
Wrong about what?   I think they are correct in thinking that a 
well-placed bomb or six would get headlines, but I think they are 
wrong if they think that you can set off bombs and still be a 
Buddhist.

Maybe what we are seeing here is that Chinese cultural genocide
against the Tibetans has worked well enough that some Tibetans 
are now no longer Buddhist and are instead willing to behave like
the Chinese occupiers.   Every action is its own reward.


On the other hand, people who are aware of the occupation are mostly
full of admiration for the peaceful way that Tibetans have put up
with it.   And what does it cost us to admire them?   Zip.


Yes they are, and whether this serves them well or not depends on 
whether they want Buddhist principles or political independence.
And without political independence can they preserve their cultural
and religious traditions?


The Chinese would certainly refer to them as terrorists, just as
the Hitler regime used to refer to European resistance movements
as terrorists.


Better off in what way?   As proponents of pacifism or as 
proponents of political autonomy?

And better off in what time-scale?   The Soviet Empire practised
cultural genocide against something like a hundred small minorities,
some of which resisted violently, and some of which did not, but
in the end it was the Soviet Empire that collapsed and at least
some of the minorities survived.

Now some of the minorities are fighting one another.    Is that
because they have to, or because violent resistance to an oppressive
Empire legitimized violence?",talk.religion.misc,talk.religion.misc_16,sklearn.fetch_20newsgroups
"

please tell me where you where you FTP'd this from? I would like to have
a copy of it. (I would have mailed you, but your post indicates you have no mail
address...)
",comp.graphics,comp.graphics_17,sklearn.fetch_20newsgroups
"==============================
                              GASPRA ANIMATION
                                March 12, 1993
                       ==============================

     The Gaspra animation is now available at the Ames Space Archives in 
QuickTime format.  The animation was formed from 11 images taken by the 
Galileo spaecraft shortly before its closest approach to the asteroid in 
October 1991.  The animation is available using anonymous ftp to:",comp.graphics,comp.graphics_18,sklearn.fetch_20newsgroups
"Pat sez;

Yeah, but a windscreen cut down most of it.  Canopies ended it completely.

Of course, the environment in space continues to suck :-)

-Tommy Mac
-------------------------------------------------------------------------
Tom McWilliams 517-355-2178 wk   \\ As the radius of vision increases,
18084tm@ibm.cl.msu.edu 336-9591 hm \\ the circumference of mystery grows.",sci.space,sci.space_19,sklearn.fetch_20newsgroups
"
I'm sorry, but He does not!  Ever read the FIRST commandment?
",talk.religion.misc,talk.religion.misc_20,sklearn.fetch_20newsgroups
"
I disagree.  It think the average joe is interested/curious about spaceflight
but sees it as an elitist activity.  Not one which he is ever going to
participate in.


Why is the general public going to be interested in the technical details
of long term space habitation?  I like the idea of the study, but it should
be released to other scientists and engineers who will be able to use it.
If you want a general public document, you'll need a more general publication.


As one working on Controlled Ecological Life Support Systems, engineering
the microworld isn't the problem.  The problem is understanding the basic
chemical, biological and medical factors to be able to engineer them
efficiently.  For example, the only way we know how to produce food is from
plants and animals.  Food synthesis is not very far advanced.  So we have
to orbit a farm.  Well that's obviously not very efficient, so we use 
technology to reduce the mass and grow plants hydroponically instead of 
using dirt.  This is where the engineering comes in.  But new technologies
bring new basic questions that we don't have the answers to.  Like, in 
dirt we can grow tomatoes and lettuce right beside each other, but in 
hydroponics it turns out that you can't do that.  The lettuce growth is 
stunted when it's grown in the same hydroponic solution as tomatoes.  So 
now you have to consider what other plants are going to have similar
interactions.  This means some basic applied scientific research.  And that's
what needs to be done with all technologies that have been developed so far.
We also need to find out how they interact together.  That's where we are now.


First you need to do the literature search.  There is a lot of information
out there.  Maybe we should just pick a specific area of long term habitation.
This could be useful, especially if we make it available on the net.  Then
we can look at methods of analyzing the technologies.


Unless there is an unbelievable outpouring of interest on this on the net,
I think we should develop a detailed data base of the literature search 
first.  Then if we accomplish that we can go on to real analysis.  The data
base itself could be useful for future engineers.

That's my response Ken, what do you think?",sci.space,sci.space_21,sklearn.fetch_20newsgroups
"I would like to know if anyone has had any luck using the upper 128 ASCII
characters on a Sun station.  I am trying to convert a fortran program to run
on a Sun.  When we write character buffers to the Sun which contain char(218)
or char(196) or char(197) etc.  We get characters on the screen but they are
not the characters in the standard ASCII tables.",comp.graphics,comp.graphics_22,sklearn.fetch_20newsgroups
"es:

xv 3.0 (shareware) supports 24-bit displays, and has lots of other
improvements over earlier versions.  Definitely worth checking out
(also at export)

Jean.
-- 
Jean Liddle                                 
Computer Science, Illinois State University  
e-mail:  jliddle@ilstu.edu                  ",comp.graphics,comp.graphics_23,sklearn.fetch_20newsgroups
"dillon comments that Space Food Sticks may have bad digestive properties.

I don't think so.  I think  most NASA food products were designed to
be low fiber 'zero-residue' products so as to minimize the difficulties
of waste disposal.  I'd doubt they'd deploy anything that caused whole sale
GI distress.  There aren't enough plastic baggies in the world for
a bad case of GI disease.",sci.space,sci.space_24,sklearn.fetch_20newsgroups
"I am currently looking for a 3D graphics library that runs on MS
Windows 3.1.  Are there any such libraries out there other than
Visuallib?  (It must run on VGA and should not require any other
add-on graphics cards).

For Visuallib, will it run with Metaware High C compiler v3.0?  Any
email contact for the author of Visuallib?

Any help would be much appreciated.  Thanks.

",comp.graphics,comp.graphics_25,sklearn.fetch_20newsgroups
"

Well I agree with you in the sense that they have no ""moral"" right to inflict
these rules, but there is one thing I might add: at the very least, almost
everybody wants to avoid pain, and if that means sacrificing some stuff for a
herd morality, then so be it.  


Right, and since they grew up and learned around us, they have some idea of our
right and wrong, which I think must, in part, be incorporated.  Very rarely do
you see criminal behaviour for ""philosophical reasons""



(stuff deleted)

-- 

best regards,

--Adam",alt.atheism,alt.atheism_26,sklearn.fetch_20newsgroups
"

Specifically, which changes are you talking about?  Are you arguing
that the motto is interpreted as offensive by a larger portion of the
population now than 40 years ago?",alt.atheism,alt.atheism_27,sklearn.fetch_20newsgroups
" 
 

Anton LaVey's interpretation of Satanism has always puzzled me.  I
read his ""Satanic Bible"" a few years ago for a social studies project,
as well as a book by Arthur Lyons called ""The Cult of Devil Worship
in America.""  The latter included a very interesting interview with
the Black Pope in which he did indeed say that Satan was merely an
instrument for one to realize the self.  

When I refer to Satanism, I am referring to the mishmash of rural Satanic
ritualism and witchcraft which existed before the Church of Satan.  I
don't consider LaVey's church to be at all ""orthodox,"" nor do I consider
its followers ""satanists.""  LaVey combined the philosophies of Nietzsche,
Crowley, and Reich, slapped in some religious doctrine, added a little
touch of P.T. Barnum, and christened his creation the Church of Satan.
No doubt the title was a calculated attempt to attract attention...I
suppose he could have just as easily called it the Church of Free Sex.

At any rate, it worked (for a while).  In its heyday, the Church had a
huge following, including such Hollywood celebrities as Sammy Davis, Jr.
and Jayne Mansfield.  (I have a picture of LaVey with Sammy, by the 
way.)  

I find the idea of a Satanist not believing in Satan about as credible as
a Christian not believing in Christ.  But if you include the Church of
Satan, then I suppose I need to alter my definition.  Webster's Dictionary
and The American Heritage Dictionary will have to do the same.",alt.atheism,alt.atheism_28,sklearn.fetch_20newsgroups
" 
 
No, the argument says John has known Q, ie a codified version of the logia,
and not the original, assuming that there has been one. It has weaknesses,
of course, like that John might have known the original, yet rather referred
to Q in his text, or that the logia were given in a codified version in
the first place.
 
The argument alone does not allow a firm conclusion, but it fits well into
the dating usually given for the gospels.
 
 
 
Not necessarily, Luke may have trusted the version he knew better than the
version given by Matthew. Improving on Matthew would give a motive, for
instance.
 
As far as I know, the theory that Luke has known Matthew is based on a
statistical analysis of the texts.
 
 
 
Yep, but it will take another day or so to get the source. I hope your German
is good enough. :-)
 
 
 
I still do not see how copies from 200 allow to change the dating of John.
 
 
 
Yes, but an if gives only possibilities and no evidence. The authencity of
many letters is still discussed. It looks as if conclusions about them are not
drawn because some pet dogmas of the churches would probably fall with them as
well.
 
 
 
Well, rather like some newsletter of a political party reporting from the
big meeting. Not necessarily wrong, but certainly bad.
 
 
 
Yes, but the accuracy of their tradition is another problem.",alt.atheism,alt.atheism_29,sklearn.fetch_20newsgroups
"If this man Clark is a NASA administrator then god save NASA. Of course
the Shuttles record is unrivaled !  There is only one Shuttle. Furthermore,
there is only likely to be one Shuttle now that Hermes and Boron are 
effectively cancelled.

These officials should spend more of their time explaining to their
European and Asian partners how we are expected to believe in them
when their paymasters change their minds on major international
projects everytime a new US administration takes office (considering
the major impacts this has on the European and Asian (Japanese)
industry). It is also appreciated how this affects American
industry. I am of course talking about Space Stattion Freedom.
",sci.space,sci.space_30,sklearn.fetch_20newsgroups
"


    ^^^
If french is your language, try counting in french in stead, maybe
it will work better.... :-)",comp.graphics,comp.graphics_31,sklearn.fetch_20newsgroups
"


Think about what you are saying here. The 24 bit image is quantised down to 8
bits so many 'similar' colours are mapped onto a single palette colour. This
colour gets modified in fairly arbitrary ways. You then want to apply these
modifications back to the 24 bit file, so you have to find which colours mapped
to this one palette colour. Ok you could do this by copying the 24 bit file to a
32 bit file and using the extra 8 bits to hold the index entry. 
Having done this, you need to do something to them ... what, exactly?

Apply the difference in RGB between the original and modified palette entry to
each colour in the group? This could generate colours with RGB outside the range
0...255. It would also lead to discontinuities when different parts of a smooth
colour gradient mapped to several different palette entries.

You could interpolate from full modification to no modification depending how
far each colour was from the palette entry. However I suspect this would look
rather odd.

So in summary, what I said in my previous posting still holds:



In other words, to edit a 24 bit file you need software built for the job.
Tacking mods onto xv is going to create more problems than it solves.

As to the other bits - you seemed to be claiming that there were bugs in XV. If
that was not what you meant, then:


Yes, I probably did. I found that the collected digest format of your posting
made it a little difficult to understand precisely what your point was. Sorry
if I misunderstood.


Yes again. What *is* (was?) wrong with xv?

--
Chris Lilley
----------------------------------------------------------------------------
Technical Author, ITTI Computer Graphics and Visualisation Training Project
Computer Graphics Unit, Manchester Computing Centre, Oxford Road, 
Manchester, UK.  M13 9PL                        Internet: C.C.Lilley@mcc.ac.uk 
Voice: +44 (0)61 275 6045  Fax: +44 (0)61 275 6040 Janet: C.C.Lilley@uk.ac.mcc",comp.graphics,comp.graphics_32,sklearn.fetch_20newsgroups
"

Oops, sorry, my words, not the words of the Qur'an.


Note that ""(the celestial bodies)"" in the above verse is an
interpolation (which is why it is in brackets) -- it is the translator's 
(incorrect, IMHO) interpretation.

Here is Maurice Bucaille's translation (he studied Arabic for his
research into the Qur'an and science) of this verse:

""(God is) the One Who created the night, the day, the sun and the moon.
Each is travelling in an orbit with its own motion."" (Qur'an :33)

The positive aspect of this verse noted by Dr. Maurice Bucaille is that
while geocentrism was the commonly accepted notion at the time (and for
a long time afterwards), there is no notion of geocentrism in this verse
(or anywhere in the Qur'an).",alt.atheism,alt.atheism_33,sklearn.fetch_20newsgroups
"
Yes, worshipping Jesus as the super-saver is indeed hero-worshipping
of the grand scale. Worshipping Lenin that will make life pleasant
for the working people is, eh, somehow similar, or what.
 
The notion of Lenin was on the borderline of supernatural insights
into how to change the world, he wasn't a communist God, but he was
the man who gave presents to kids during Christmas.
 

Don't know what they were, but they were fanatics indeed.

Cheers,
Kent",alt.atheism,alt.atheism_34,sklearn.fetch_20newsgroups
